time,ideal,arduino,error
2.700020559132099e-06,90.00019085320695,90.0,0.00019085320694500751
0.45437609998043627,121.44055968981631,121.4,0.04055968981630542
0.591835799976252,130.3441146386176,130.3,0.04411463861760012
0.7359259000513703,139.17110430443586,139.2,0.028895695564131074
0.8840589000610635,147.58893264567268,147.6,0.011067354327309431
1.0295049999840558,155.0971236678428,155.1,0.0028763321572000677
1.199365200009197,162.78514571745285,162.8,0.014854282547162256
1.3340280000120401,167.96682628591816,168.0,0.033173714081840444
1.4697710999753326,172.3081007766532,172.3,0.008100776653179764
1.5904008999932557,175.3829815928085,175.4,0.017018407191500273
1.7236630000406876,177.88862714951665,177.9,0.011372850483354568
1.8625600000377744,179.47616221311046,179.5,0.023837786889544077
1.9854501000372693,179.99412365121356,180.0,0.005876348786443941
2.1250240999506786,179.56645840979144,179.6,0.03354159020855718
2.2414043999742717,178.38719722535683,178.4,0.012802774643176917
2.375753900036216,176.1091458333801,176.1,0.009145833380102886
2.49446459999308,173.2981058859986,173.3,0.0018941140014021585
2.620992499985732,169.50605460714618,169.5,0.006054607146182889
2.633543499978259,169.08645048474165,169.1,0.013549515258347355
2.766975700040348,164.15898205382874,164.2,0.04101794617125165
2.778116900008172,163.70993209132118,163.7,0.009932091321189773
2.8895204999716952,158.91529353123474,158.9,0.015293531234732427
2.9010371000040323,158.3889042874668,158.4,0.01109571253320496
3.0103426000569016,153.12056808757058,153.1,0.02056808757058093
3.1723613999783993,144.46862761360404,144.5,0.031372386395958074
3.185062799951993,143.75121209438538,143.8,0.0487879056146312
3.1969168999930844,143.07682772830933,143.1,0.023172271690668822
3.335175200016238,134.88720174388396,134.9,0.01279825611604224
3.344950700062327,134.2869711404659,134.3,0.013028859534102821
3.482121799956076,125.60561464884752,125.6,0.005614648847526382
3.6533236999530345,114.20343971399694,114.2,0.003439713996939986
3.817920899949968,102.82659067312143,102.8,0.02659067312143293
3.925254000001587,95.28044916075488,95.3,0.01955083924511314
4.0633326000534,85.52512812021551,85.5,0.025128120215512695
4.198003400000744,76.06030917619904,76.1,0.03969082380095301
4.321353400009684,67.52526213765296,67.5,0.025262137652958927
4.46623899997212,57.77510847489148,57.8,0.02489152510851511
4.612236100016162,48.37210524651357,48.4,0.02789475348642867
4.622105099959299,47.75486934953303,47.8,0.04513065046696596
4.633931200020015,47.01857688094622,47.0,0.018576880946220342
4.642822599969804,46.46743720329892,46.5,0.03256279670107887
4.798216399969533,37.20137619034717,37.2,0.001376190347166073
4.811242099967785,36.458506519465764,36.5,0.041493480534235516
4.824196000001393,35.725288908780726,35.7,0.025288908780723318
4.834274400025606,35.15871242778044,35.2,0.041287572219559365
4.962229700060561,28.27596355348161,28.3,0.024036446518390875
5.068717899965122,23.020033197946148,23.0,0.020033197946148107
5.196803500060923,17.321508293518804,17.3,0.0215082935188029
5.326285399962217,12.308001026830027,12.3,0.008001026830026348
5.44147239997983,8.521305558233962,8.5,0.021305558233962074
5.567498999997042,5.1426446788370725,5.1,0.0426446788370729
5.681519099976867,2.8008735149964537,2.8,0.000873514996453828
5.805425000027753,1.0488683850070686,1.0,0.04886838500706858
5.896457100054249,0.29743602411737413,0.3,0.0025639758826258574
6.0251962000038475,0.017621716008278554,0.0,0.017621716008278554
6.172576899989508,0.8254535015416593,0.8,0.025453501541659262
6.316145700053312,2.760160843453008,2.8,0.039839156546991994
6.4375656000338495,5.262596401940826,5.3,0.03740359805917404
6.562561400001869,8.642819349789946,8.6,0.04281934978994606
6.68529369996395,12.724364575387085,12.7,0.024364575387085807
6.819875700050034,18.023105639504394,18.0,0.023105639504393594
6.94767010002397,23.79929254132952,23.8,0.0007074586704796104
7.082808000035584,30.630963157058552,30.6,0.030963157058550905
7.21400989999529,37.90368425798703,37.9,0.0036842579870324244
7.345780199975707,45.76408207394328,45.8,0.03591792605671884
7.474838600028306,53.92215280456638,53.9,0.02215280456638169
7.60257960006129,62.36194423779091,62.4,0.03805576220909046
7.727600599988364,70.89177088762244,70.9,0.008229112377563297
7.862425100058317,80.29431482035325,80.3,0.005685179646746974
8.000520100002177,90.03676370176194,90.0,0.03676370176194155
8.153244400047697,100.80607467491153,100.8,0.0060746749115310195
8.286852600052953,110.10532137330452,110.1,0.005321373304525423
8.408633499988355,118.39128328580824,118.4,0.00871671419176323
8.541819100035354,127.15344686450175,127.2,0.04655313549825735
8.66437270003371,134.8595002013871,134.9,0.040499798612898985
8.804763299995102,143.17269615091152,143.2,0.027303849088468723
8.930235199979506,150.05883208912385,150.1,0.04116791087614047
9.068702599965036,156.97924443270284,157.0,0.020755567297157995
9.194498399971053,162.5822695097076,162.6,0.017730490292393597
9.315520699950866,167.30512912485617,167.3,0.0051291248561540215
9.435092200059444,171.2861222035638,171.3,0.013877796436219114
9.561508700018749,174.71533402203133,174.7,0.0153340220313396
9.676762199960649,177.11528589727368,177.1,0.015285897273685123
9.801546200062148,178.9089825213316,178.9,0.008982521331603266
9.922355100046843,179.8327047720552,179.8,0.032704772055183184
10.06805650005117,179.87146301897235,179.9,0.02853698102765634
10.171006400021724,179.18947938363686,179.2,0.010520616363123736
10.258697499986738,178.148677120756,178.1,0.04867712075599684
10.3823005000595,175.97341623618726,176.0,0.02658376381273797
10.503660000045784,173.04981043718675,173.0,0.04981043718674982
10.629112900001928,169.23545368114657,169.2,0.035453681146577765
10.747228999971412,164.94090759335222,164.9,0.040907593352216054
10.880049700033851,159.343952470181,159.3,0.04395247018098303
11.054376699961722,150.86452874996252,150.9,0.035471250037488744
11.15549649996683,145.41282218673996,145.4,0.012822186739953167
11.283501800033264,138.01523490813295,138.0,0.015234908132953251
11.397453099954873,131.0194708110924,131.0,0.019470811092389795
11.518084099981934,123.25708901805359,123.3,0.04291098194640597
11.634663100005127,115.47124219836127,115.5,0.02875780163873287
11.758177099982277,106.99087185022623,107.0,0.00912814977377252
11.888464999967255,97.87386533624206,97.9,0.0261346637579436
12.001199000049382,89.91524769322328,89.9,0.015247693223273018
12.136682200012729,80.35705044403876,80.4,0.04294955596124339
12.25504900002852,72.09197479976959,72.1,0.008025200230406426
12.37554729997646,63.83736092766565,63.8,0.037360927665652355
12.503309300052933,55.34249317542366,55.3,0.042493175423665264
12.628788799978793,47.33829057877536,47.3,0.03829057877536002
12.745140900020488,40.284626936785465,40.3,0.015373063214532579
12.866667499998584,33.36111902792872,33.4,0.03888097207127572
12.98627720004879,27.0499715700836,27.0,0.049971570083599204
13.155160899972543,19.096210418891218,19.1,0.0037895811087835796
13.255144000053406,14.96633641273121,15.0,0.03366358726879071
13.377109799999744,10.556894412903887,10.6,0.043105587096112785
13.487726100021973,7.186712979656463,7.2,0.01328702034353757
13.588951000012457,4.649478046051442,4.6,0.04947804605144235
13.720343100023456,2.1622041366663325,2.2,0.03779586333366769
13.869558100006543,0.4718963530879705,0.5,0.02810364691202949
13.992929699947126,0.0013876081772679072,0.0,0.0013876081772679072
14.114061999949627,0.3608974187441589,0.4,0.039102581255841096
14.242946699960157,1.63341380031126,1.6,0.033413800311259845
14.364365800051019,3.660172907344503,3.7,0.03982709265549733
14.485001599998213,6.450909162277739,6.5,0.04909083772226097
14.585831600008532,9.359713267129948,9.4,0.04028673287005269
14.706032800022513,13.486056649507816,13.5,0.013943350492183981
14.869711000006646,20.192487507704485,20.2,0.007512492295514761
14.885021100053564,20.880581723999754,20.9,0.019418276000244816
15.035517200012691,28.160154171089467,28.2,0.03984582891053279
15.187457600026391,36.384655350167094,36.4,0.015344649832904622
15.338111400022171,45.292809005972934,45.3,0.007190994027062914
15.822506900061853,77.49434808458153,77.5,0.005651915418468434
16.291515800054185,110.4264779765715,110.4,0.026477976571499084
16.44677290006075,120.93642424796776,120.9,0.03642424796775856
16.596738300053403,130.65358424742584,130.7,0.04641575257414843
16.608227299991995,131.37645638708543,131.4,0.023543612914579626
16.621894099982455,132.23196051955932,132.2,0.03196051955933399
16.775041199987754,141.46330561217923,141.5,0.0366943878207735
16.786995099973865,142.15422744268497,142.2,0.0457725573150185
16.800444600055926,142.92609439792153,142.9,0.02609439792152557
16.81116619997192,143.53718097782252,143.5,0.037180977822515615
16.964570399955846,151.84434456061302,151.8,0.04434456061301262
17.061871899990365,156.65577744673067,156.7,0.04422255326932145
17.21045320003759,163.2433812844884,163.2,0.043381284488418714
17.394051000010222,169.9988050061121,170.0,0.0011949938879070032
17.695307999965735,177.435274793691,177.4,0.03527479369100206
17.862635800032876,179.47673930045025,179.5,0.023260699549751962
17.98131870001089,179.99031279089357,180.0,0.009687209106431283
18.07647690002341,179.83769860459074,179.8,0.037698604590730156
18.833325800020248,161.40212478952355,161.4,0.0021247895235489977
18.998681799974293,153.70546303284266,153.7,0.005463032842669691
19.095715699950233,148.68027384517472,148.7,0.019726154825264075
19.217634200002067,141.88720125946656,141.9,0.012798740533440878
19.22954580001533,141.19697459897208,141.2,0.0030254010279122667
19.364022099995054,133.1084759457492,133.1,0.008475945749211178
19.37693000002764,132.30534269022763,132.3,0.0053426902276214605
19.547890500049107,121.29038768507995,121.3,0.009612314920047993
19.562013300019316,120.35247633624226,120.4,0.04752366375774386
19.702184800058603,110.8598845086307,110.9,0.040115491369306255
19.711253299959935,110.23580162700915,110.2,0.035801627009149684
19.7239949000068,109.35721339203795,109.4,0.04278660796205713
19.873278700048104,98.94262017366984,98.9,0.04262017366983173
19.886813599965535,97.99014167975511,98.0,0.009858320244887864
19.89830100000836,97.18103731233444,97.2,0.01896268766556375
20.019237900036387,88.64020471824128,88.6,0.040204718241284354
20.113339700037614,81.9990650279763,82.0,0.0009349720236997427
20.122677800012752,81.34182818540593,81.3,0.04182818540593303
20.251886200043373,72.31112456133597,72.3,0.011124561335975613
20.265115599962883,71.39520426600954,71.4,0.004795733990462736
20.62562439998146,47.53537410561228,47.5,0.03537410561227716
20.787397300009616,37.82260545164152,37.8,0.02260545164152461
20.95535820000805,28.630350892524774,28.6,0.030350892524772632
21.060520000057295,23.408469326768483,23.4,0.008469326768484109
21.21310369996354,16.647902368947683,16.6,0.04790236894768185
21.32546540000476,12.337275743860843,12.3,0.037275743860842425
21.518594600027427,6.356737420723064,6.4,0.04326257927693611
21.688376900041476,2.6821469353919554,2.7,0.01785306460804481
21.820414899964817,0.8937432483030534,0.9,0.006256751696946616
21.988277600030415,0.0038143652723334753,0.0,0.0038143652723334753
22.168682600022294,0.7886740251467046,0.8,0.01132597485329545
22.186987700057216,0.9688078544909331,1.0,0.031192145509066904
22.330081499996595,3.0074674529384566,3.0,0.007467452938456631
22.516423300025053,7.302001986696666,7.3,0.0020019866966665134
22.658256700029597,11.762183303508266,11.8,0.0378166964917348
23.080630299984477,30.51535932119218,30.5,0.015359321192178754
23.333189700031653,44.99120766914685,45.0,0.008792330853147234
23.529326500021853,57.482630100934394,57.5,0.017369899065606376
23.703619300038554,69.2387663534362,69.2,0.03876635343620194
