time_s,angle
0.004742622375488281,90.0
0.10775637626647949,97.06131861550604
0.20900511741638184,104.07910185362078
0.3098719120025635,111.01008274703149
0.4105687141418457,117.81152949374527
0.5115907192230225,124.44150891285808
0.612471342086792,130.8591449765592
0.7132077217102051,137.0248708244354
0.8139381408691406,142.90067270632258
0.914980411529541,148.4503243497165
1.01593017578125,153.63961030678928
1.1168692111968994,158.43653690400276
1.217989444732666,162.81152949374527
1.3193316459655762,166.73761479186828
1.4206321239471436,170.1905871769531
1.5235395431518555,173.14915792601582
1.6253342628479004,175.59508646656383
1.7265801429748535,177.5132928357909
1.8281762599945068,178.8919506535624
1.9293303489685059,179.72256003598153
2.030336856842041,180.0
2.1312003135681152,179.72256003598153
2.2320570945739746,178.8919506535624
2.3328287601470947,177.51329283579088
2.4340195655822754,175.59508646656383
2.5356569290161133,173.1491579260158
2.6374545097351074,170.19058717695307
2.741666316986084,166.73761479186828
2.842564821243286,162.81152949374524
2.9472544193267822,158.43653690400274
3.0486741065979004,153.63961030678922
3.150434732437134,148.45032434971645
3.2520153522491455,142.9006727063225
3.353515386581421,137.0248708244353
3.454793930053711,130.85914497655912
3.556520700454712,124.44150891285798
3.658231019973755,117.81152949374517
3.7599029541015625,111.01008274703138
3.8616068363189697,104.07910185362063
3.963017702102661,97.0613186155059
4.064398288726807,89.99999999999989
4.165522813796997,82.93868138449385
4.267252206802368,75.92089814637916
4.368697643280029,68.98991725296848
4.469874143600464,62.1884705062547
4.573409795761108,55.55849108714193
4.674907922744751,49.140855023440835
4.776509761810303,42.975129175564646
4.877997159957886,37.0993272936775
4.978833436965942,31.549675650283568
5.0797858238220215,26.36038969321082
5.180539131164551,21.563463095997307
5.281316757202148,17.188470506254845
5.38274884223938,13.262385208131818
5.48419976234436,9.809412823047012
5.585710763931274,6.85084207398431
5.686833381652832,4.4049135334362575
5.787828683853149,2.4867071642091645
5.890490770339966,1.1080493464376673
5.992560863494873,0.27743996401851234
6.093567848205566,0.0
6.1950907707214355,0.2774399640184413
6.296300172805786,1.1080493464375394
6.397727012634277,2.486707164208994
6.498836517333984,4.404913533436016
6.60021448135376,6.8508420739839835
6.702371120452881,9.809412823046628
6.8035101890563965,13.26238520813142
6.90438985824585,17.18847050625439
7.005812168121338,21.563463095996823
7.1076295375823975,26.36038969321026
7.208497762680054,31.549675650282943
7.309963226318359,37.099327293676886
7.411126613616943,42.97512917556401
7.514546155929565,49.140855023440125
7.61578631401062,55.5584910871412
7.7172627449035645,62.18847050625395
7.8181188106536865,68.98991725296767
7.9197773933410645,75.9208981463784
8.021058320999146,82.9386813844931
8.12257194519043,89.9999999999991
8.224905967712402,97.0613186155051
8.326358556747437,104.0791018536198
8.427435636520386,111.01008274703057
8.528217077255249,117.81152949374433
8.629466772079468,124.44150891285713
8.730910539627075,130.85914497655827
8.831937313079834,137.02487082443446
8.933092832565308,142.90067270632164
9.034293413162231,148.4503243497157
9.13535475730896,153.63961030678848
9.236308097839355,158.43653690400203
9.33752703666687,162.81152949374456
9.438886404037476,166.73761479186766
9.541149139404297,170.19058717695253
9.642225742340088,173.14915792601533
9.743002891540527,175.59508646656343
9.84401535987854,177.5132928357906
9.944665431976318,178.89195065356216
10.045448064804077,179.72256003598142
10.146874904632568,180.0
10.24826979637146,179.72256003598164
10.350085258483887,178.89195065356262
10.451349973678589,177.51329283579125
10.553094625473022,175.59508646656428
10.654329061508179,173.14915792601641
10.756035804748535,170.1905871769538
10.857962846755981,166.73761479186908
10.959167957305908,162.8115294937462
11.060242652893066,158.43653690400382
11.1615571975708,153.63961030679047
11.262828588485718,148.4503243497178
11.363848686218262,142.90067270632403
11.464985370635986,137.0248708244369
11.566516876220703,130.85914497656074
11.6678466796875,124.44150891285977
11.768917560577393,117.81152949374697
11.870234251022339,111.01008274703335
11.971071720123291,104.07910185362263
12.07199478149414,97.06131861550787
12.173400163650513,90.00000000000195
12.275164127349854,82.93868138449587
12.376512289047241,75.92089814638123
12.478300333023071,68.98991725297046
12.579867362976074,62.18847050625659
12.681233644485474,55.558491087143835
12.782440423965454,49.140855023442604
12.883745193481445,42.97512917556644
12.98528528213501,37.099327293679124
13.08667254447937,31.549675650285053
13.18817687034607,26.360389693212277
13.289923429489136,21.563463095998614
13.391681909561157,17.188470506256067
13.492906093597412,13.26238520813287
13.593741655349731,9.809412823047893
13.695270776748657,6.850842073985078
13.79607367515564,4.404913533436883
13.897220849990845,2.486707164209676
13.998143434524536,1.1080493464379657
14.099158763885498,0.27743996401866866
14.200668811798096,0.0
14.301960706710815,0.2774399640182992
14.403087139129639,1.1080493464372125
14.504205465316772,2.486707164208525
14.605683088302612,4.404913533435376
14.707597732543945,6.850842073983216
14.80878210067749,9.809412823045747
14.90982723236084,13.262385208130326
15.01075553894043,17.188470506253196
15.111843824386597,21.563463095995445
15.213024377822876,26.36038969320883
15.314348459243774,31.549675650281465
15.41581392288208,37.09932729367519
15.51734209060669,42.97512917556228
15.618770837783813,49.14085502343826
15.719995975494385,55.55849108713933
15.820873022079468,62.1884705062521
15.923662424087524,68.98991725296571
16.024934768676758,75.92089814637642
16.125825881958008,82.938681384491
16.227043867111206,89.99999999999707
16.328152179718018,97.06131861550317
16.429391622543335,104.07910185361797
16.530961275100708,111.01008274702876
16.632412672042847,117.8115294937428
16.733823776245117,124.44150891285571
16.83522939682007,130.85914497655696
16.936949253082275,137.0248708244334
17.03891921043396,142.90067270632073
17.140227794647217,148.45032434971495
17.241554260253906,153.63961030678783
17.34338903427124,158.43653690400149
17.444795608520508,162.81152949374422
17.54613995552063,166.73761479186737
17.647240161895752,170.1905871769523
17.748191595077515,173.14915792601522
17.849411964416504,175.59508646656337
17.950692176818848,177.5132928357906
18.051671266555786,178.89195065356222
18.15307068824768,179.72256003598142
18.25476336479187,180.0
18.357760906219482,179.7225600359816
18.459017276763916,178.89195065356256
18.559922218322754,177.51329283579105
18.661334991455078,175.59508646656406
18.762758016586304,173.14915792601602
18.86448860168457,170.19058717695333
18.965603590011597,166.7376147918685
19.066681385040283,162.8115294937454
19.167749166488647,158.43653690400288
19.269170999526978,153.63961030678936
19.370401859283447,148.45032434971648
19.47135901451111,142.9006727063225
19.574382543563843,137.02487082443514
19.675769329071045,130.8591449765589
19.777299165725708,124.44150891285773
19.87887406349182,117.81152949374471
19.98020339012146,111.01008274703088
20.082045555114746,104.07910185361996
20.183026552200317,97.06131861550519
20.285191535949707,89.99999999999909
20.386255264282227,82.93868138449285
20.48725700378418,75.9208981463781
20.589677810668945,68.98991725296736
20.692022800445557,62.18847050625342
20.793298721313477,55.5584910871406
20.894761562347412,49.140855023439485
20.9962055683136,42.97512917556332
21.0973060131073,37.099327293675906
21.19828462600708,31.54967565028202
21.299235582351685,26.36038969320935
21.400979042053223,21.563463095995928
21.5023410320282,17.18847050625355
21.603428840637207,13.262385208130453
21.70461130142212,9.80941282304579
21.807494163513184,6.850842073983259
21.908623218536377,4.404913533435405
22.010302543640137,2.486707164208511
22.111547708511353,1.1080493464371557
22.212926864624023,0.27743996401825655
22.314104795455933,0.0
22.415063858032227,0.2774399640187255
22.516502618789673,1.1080493464380794
22.61785316467285,2.4867071642098324
22.71923851966858,4.404913533437238
22.82029438018799,6.8508420739855325
22.921476364135742,9.809412823048504
23.02391767501831,13.262385208133566
23.125194311141968,17.188470506256863
23.226572275161743,21.563463095999793
23.327547550201416,26.360389693213556
23.428478002548218,31.549675650286545
23.529700994491577,37.09932729368072
23.631163120269775,42.97512917556813
23.73261547088623,49.140855023444786
23.833898782730103,55.55849108714611
23.9353928565979,62.18847050625908
24.037534952163696,68.989917252973
24.13843059539795,75.92089814638382
24.240458965301514,82.93868138449895
24.34168314933777,90.00000000000504
24.442598819732666,97.06131861551111
24.543816328048706,104.07910185362584
24.644794940948486,111.0100827470365
24.745699644088745,117.81152949375021
24.846864461898804,124.44150891286321
24.94783115386963,130.8591449765642
25.048647165298462,137.0248708244402
25.149539947509766,142.90067270632719
25.25060510635376,148.4503243497209
25.351323127746582,153.63961030679357
25.452286958694458,158.43653690400674
25.55290675163269,162.81152949374888
25.653578281402588,166.73761479187155
25.75573968887329,170.19058717695594
25.858159065246582,173.14915792601835
25.95900583267212,175.59508646656587
26.060463905334473,177.51329283579247
26.161063194274902,178.89195065356347
26.262107372283936,179.72256003598204
26.364200353622437,180.0
26.466566801071167,179.72256003598096
26.56817603111267,178.89195065356125
26.66944694519043,177.5132928357892
26.770697116851807,175.59508646656155
26.873365879058838,173.149157926013
26.974735975265503,170.19058717694963
27.07636547088623,166.73761479186427
27.17760133743286,162.8115294937407
27.280071258544922,158.4365369039977
27.380807399749756,153.63961030678374
27.4816312789917,148.45032434971029
27.583138465881348,142.9006727063159
27.684716939926147,137.02487082442835
27.785810947418213,130.8591449765518
27.88726806640625,124.44150891285037
27.988912343978882,117.81152949373697
28.09054470062256,111.01008274702298
28.192819356918335,104.07910185361209
28.293996572494507,97.06131861549724
28.396016120910645,89.99999999999112
28.497695446014404,82.93868138448506
28.599409103393555,75.92089814637006
28.70064878463745,68.98991725295946
28.802427530288696,62.188470506245835
28.903520822525024,55.55849108713324
29.00506901741028,49.14085502343239
29.1069815158844,42.975129175556255
29.209044694900513,37.09932729366946
29.310173273086548,31.549675650275965
29.411458730697632,26.360389693203715
29.512575387954712,21.563463095990755
29.61393404006958,17.188470506248677
29.715050220489502,13.26238520812629
29.816341638565063,9.809412823042166
29.917871236801147,6.850842073980203
30.019543170928955,4.404913533432946
30.120880603790283,2.486707164206649
30.221620559692383,1.1080493464359051
30.325649976730347,0.27743996401761706
30.42643690109253,0.0
30.527578115463257,0.27743996401933657
30.62933111190796,1.10804934643933
30.730566024780273,2.486707164211765
30.8321270942688,4.404913533439711
30.9332115650177,6.850842073988574
31.034792184829712,9.809412823052114
31.135998010635376,13.26238520813773
31.237164974212646,17.188470506261737
31.338144779205322,21.563463096004966
31.43980360031128,26.360389693219204
31.540866136550903,31.549675650292613
31.6419415473938,37.09932729368718
31.743314266204834,42.9751291755752
31.844238996505737,49.14085502345189
31.94561266899109,55.55849108715347
32.04723882675171,62.18847050626666
32.148139238357544,68.98991725298075
32.24924397468567,75.92089814639169
32.35030126571655,82.93868138450689
32.45168948173523,90.00000000001302
32.553457260131836,97.06131861551907
32.654505491256714,104.07910185363372
32.75621056556702,111.01008274704427
32.85731363296509,117.8115294937581
32.959880352020264,124.44150891287059
33.06103730201721,130.85914497657132
33.16258955001831,137.02487082444702
33.26388335227966,142.90067270633364
33.36509609222412,148.4503243497272
33.46601676940918,153.63961030679923
33.5674250125885,158.43653690401192
33.66947054862976,162.81152949375357
33.77101755142212,166.73761479187573
33.8740291595459,170.19058717695958
33.97538137435913,173.1491579260214
34.07674050331116,175.59508646656832
34.17833185195923,177.51329283579432
34.27954721450806,178.8919506535647
34.38128685951233,179.72256003598267
34.48269605636597,180.0
34.58400774002075,179.72256003598034
34.68553590774536,178.89195065356
34.78654193878174,177.51329283578735
34.887834548950195,175.5950864665591
34.99070930480957,173.14915792600982
35.09215259552002,170.190587176946
35.1938054561615,166.7376147918601
35.294976472854614,162.81152949373603
35.396307945251465,158.43653690399253
35.49857449531555,153.63961030677785
35.599262952804565,148.45032434970423
35.700013160705566,142.90067270630948
35.80066633224487,137.02487082442155
35.90161418914795,130.8591449765447
36.003270864486694,124.44150891284299
36.104167461395264,117.8115294937294
36.20648789405823,111.01008274701522
36.30719590187073,104.07910185360421
36.40855431556702,97.06131861548928
36.50916123390198,89.99999999998315
36.610126972198486,82.93868138447681
36.711256980895996,75.92089814636219
36.81261444091797,68.9899172529517
36.91401171684265,62.188470506238254
37.015355348587036,55.55849108712588
37.1165657043457,49.140855023425
37.217604875564575,42.97512917554946
37.3186297416687,37.099327293663016
37.41958999633789,31.549675650269904
37.52239751815796,26.36038969319808
37.62388515472412,21.563463095985583
